"maSP","maloaiSP","thongtinSP","tenSP","giaSP","hinhanhSP","sizeL","sizeXL"
"52","jacket","The quality of the product is guaranteed","jacket123 winter","150","jk5.jpg","10","30"
"53","jacket","The quality of the product is guaranteed","jacket124 winter","150","jk6.jpg","10","30"
"54","jacket","The quality of the product is guaranteed","jacket125 winter","75","jk6.jpg","10","30"
"55","jacket","The quality of the product is guaranteed","jacket126 winter","75","jk6.jpg","10","30"
"65","tshirt","Fresh","tee3 autumn","39","20.1.jpg","2","3"
"66","tshirt","The quality of the product is guaranteed","tee4 spring","29","17.1.jpg","2","3"
"67","jacket","Comfortable","jacket1 sping","99","jk1.jpg","2","3"
"68","jacket","The quality of the product is guaranteed","jacket2 autumn","890","jk2.jpg","2","3"
"69","jacket","The quality of the product is guaranteed","jacket3 winter","129","jk3.jpg","2","3"
"70","jacket","Adorable","jacket4 spring","109","jk4.jpg","2","3"
"71","tshirt","Beatiful","tee5 spring","35","4.1.jpg","2","3"
"72","jacket","The quality of the product is guaranteed","jacket5 winter","119","jk5.jpg","2","3"
"73","tshirt","The quality of the product is guaranteed","tee6 autumn","69","7.1.jpg","2","3"
"74","tshirt","Cute","tee7 summer","49","22.1.jpg","2","3"
"75","jacket","Relaxing","jacket6 summer","990","jk6.jpg","2","3"
"76","jacket","The quality of the product is guaranteed","jacket7 autumn","89","jk7.jpg","2","3"
"77","tshirt","Catchy","tee8 spring","79","23.1.jpg","2","3"
"78","jacket","The quality of the product is guaranteed","jacket8 winter","159","jk8.jpg","2","3"
"79","tshirt","The quality of the product is guaranteed","tee9 summer","59","15.1.jpg","2","3"
"80","tshirt","Beatiful","tee10 summer","39","12.1.jpg","2","3"
"81","jacket","Comfortable","jacket9 spring","89","jk9.jpg","2","3"
"82","tshirt","The quality of the product is guaranteed","tee11 autumn","59","13.1.jpg","2","3"
"83","jacket","The quality of the product is guaranteed","jacket10 spring","109","jk10.jpg","2","3"
"84","tshirt","The quality of the product is guaranteed","tee12 spring","79","14.1.jpg","2","3"
"85","tshirt","The quality of the product is guaranteed","tee12 winter","39","jk2.jpg","1","3"
"86","tshirt","Nice","tee13 spring","59","5.1.jpg","2","3"
